43
Symbol,Volume
MMM,28812074.0
AOS,7239066.0
ABT,33757404.0
ABBV,24968474.0
ACN,20343939.0
ADBE,18164552.0
AMD,344306073.0
AES,41591405.0
AFL,9965740.0
A,8215321.0
APD,5741386.0
ABNB,20514140.0
AKAM,8387045.0
ALB,21067151.0
ARE,7998868.0
ALGN,5994137.0
ALLE,5957415.0
LNT,15201340.0
ALL,6828681.0
GOOGL,181771292.0
GOOG,111118822.0
MO,34685573.0
AMZN,242402795.0
AMCR,96307603.0
AMTM,6106443.0
AEE,7850681.0
AEP,13906926.0
AXP,15163573.0
AIG,19027817.0
AMT,10431847.0
AWK,5711165.0
AMP,2871812.0
AME,6079791.0
AMGN,8995181.0
APH,65444663.0
ADI,20109914.0
AON,6028235.0
APA,40777068.0
AAPL,289914199.0
AMAT,35238056.0
APTV,8382232.0
ACGL,9198261.0
ADM,13020477.0
ANET,34756974.0
AJG,7962539.0
AIZ,1366170.0
T,530433578.0
ATO,4092736.0
ADSK,5942599.0
ADP,8187056.0
AZO,859332.0
AVB,4078565.0
AVY,7608597.0
AXON,2638721.0
BKR,62535940.0
BALL,14585819.0
BAC,184836177.0
BAX,28927362.0
BDX,10933469.0
BBY,20805737.0
TECH,11062068.0
BIIB,7535678.0
BLK,3842236.0
BX,25414180.0
BK,19446785.0
BA,31575724.0
BKNG,1561099.0
BWA,9704418.0
BSX,59223826.0
BMY,77862831.0
AVGO,95513786.0
BR,2481647.0
BRO,15755694.0
BLDR,7267566.0
BG,8020302.0
BXP,8384269.0
CHRW,8252179.0
CDNS,9892726.0
CZR,33474463.0
CPT,6651708.0
CPB,26516235.0
COF,27143009.0
CAH,10239915.0
KMX,21213586.0
CCL,113212382.0
CARR,35728874.0
CAT,15981927.0
CBOE,3563360.0
CBRE,12956195.0
CDW,7738043.0
CE,7225414.0
COR,5952202.0
CNC,57070004.0
CNP,30459829.0
CF,12258987.0
CRL,7800946.0
SCHW,47165631.0
CHTR,10087411.0
CVX,37720821.0
CMG,71617180.0
CB,14903727.0
CHD,12230162.0
CI,7737904.0
CINF,2447038.0
CTAS,12681861.0
CSCO,83666076.0
C,63706265.0
CFG,22681404.0
CLX,9295977.0
CME,9504063.0
CMS,10617455.0
KO,115069707.0
CTSH,22471344.0
CL,29321977.0
CMCSA,126159789.0
CAG,46619195.0
COP,41573026.0
ED,7130433.0
STZ,9756295.0
CEG,17682405.0
COO,13936844.0
CPRT,26140690.0
GLW,38246314.0
CPAY,1756830.0
CTVA,22135587.0
